latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
47.72447916663861,-4.3026041666787,-78.24294,323,16157,0,-77.45,-78.85,0.38209435
47.72447916663861,-4.301562500012033,-78.18559,158,16157,0,-77.67,-78.61,0.18087246
47.72447916663861,-4.300520833345367,-77.7921,19,16157,0,-77.54,-78.05,0.1362156
47.72447916663861,-4.2994791666787,-78.25,0,16157,1,-78.18,-78.74,0.2795085
47.72447916663861,-4.298437500012033,-78.78906,2,16157,1,-78.0,-79.0,0.0
47.72447916663861,-4.297395833345367,-78.49219,0,16157,1,-77.63,-77.63,0.0
47.72447916663861,-4.2963541666787,-77.90625,0,16157,1,-77.27,-77.27,0.0
47.72447916663861,-4.295312500012034,-76.828125,0,16157,1,-76.7,-76.7,0.0
47.72447916663861,-4.294270833345367,-75.67578,0,16157,1,-75.61,-75.61,0.0
47.72447916663861,-4.2932291666787,-73.05078,0,16157,1,-73.51,-73.51,0.0
47.72447916663861,-4.292187500012034,-68.92578,0,16157,1,-70.54,-70.54,0.0
47.72447916663861,-4.291145833345367,-67.89844,0,16157,1,-67.35,-67.35,0.0
47.72447916663861,-4.2901041666787005,-66.03906,0,16157,1,-65.26,-65.26,0.0
47.72447916663861,-4.289062500012034,-65.65234,0,16157,1,-65.68,-65.68,0.0
47.72447916663861,-4.288020833345367,-68.91406,0,16157,1,-68.98,-68.98,0.0
47.72447916663861,-4.286979166678701,-71.9,1,16315,0,-71.9,-71.9,0.0
47.72447916663861,-4.285937500012034,-60.8,1,16315,0,-60.8,-60.8,0.0
47.72447916663861,-4.2848958333453675,-60.621094,0,16157,1,-64.47,-64.47,0.0
47.72447916663861,-4.283854166678701,-59.54297,0,16157,1,-63.41,-63.41,0.0
47.72447916663861,-4.282812500012034,-61.660156,0,16157,1,-63.68,-63.68,0.0
47.72447916663861,-4.281770833345368,-63.304688,0,16157,1,-64.41,-64.41,0.0
47.72447916663861,-4.280729166678701,-63.66797,0,16157,1,-64.95,-64.95,0.0
47.72447916663861,-4.2796875000120345,-64.35156,0,16157,1,-64.93,-64.93,0.0
47.72447916663861,-4.278645833345368,-62.125,0,16157,1,-64.27,-64.27,0.0
47.72447916663861,-4.277604166678701,-60.835938,0,16157,1,-62.82,-62.82,0.0
47.72447916663861,-4.276562500012035,-58.253906,0,16157,1,-60.6,-60.6,0.0
47.72447916663861,-4.275520833345368,-60.17578,0,16157,1,-58.93,-59.95,0.50991154
47.72447916663861,-4.274479166678701,-61.007812,0,16157,1,-62.09,-62.09,0.0
47.72447916663861,-4.273437500012035,-61.9,1,16315,0,-61.9,-61.9,0.0
47.72447916663861,-4.272395833345368,-62.902344,0,16157,1,-65.38,-65.38,0.0
47.72447916663861,-4.271354166678702,-64.50781,0,16351,1,-65.68,-65.68,0.0
47.725520833305275,-4.433854166678692,-81.421875,0,16352,1,-80.65,-81.77,0.5603257
47.725520833305275,-4.432812500012026,-80.0,1,16352,0,-80.0,-80.0,0.054126587
47.725520833305275,-4.431770833345359,-79.13281,0,16352,1,-79.1,-79.18,0.03827328
47.725520833305275,-4.4307291666786925,-78.34375,0,16352,1,-78.48,-79.12,0.32021722
47.725520833305275,-4.429687500012026,-77.5625,0,16352,1,-78.04,-78.94,0.44906586
47.725520833305275,-4.428645833345359,-77.23047,0,16352,1,-77.13,-77.48,0.17539018
47.725520833305275,-4.427604166678693,-76.42969,0,16352,1,-75.79,-76.1,0.15467961
47.725520833305275,-4.426562500012026,-77.0,1,16352,0,-77.0,-77.0,0.17951758
47.725520833305275,-4.4255208333453595,-75.08984,0,16352,1,-74.87,-77.18,1.1549824
47.725520833305275,-4.424479166678693,-76.421875,0,16352,1,-72.69,-76.01,1.3382883
47.725520833305275,-4.423437500012026,-79.0,1,16352,0,-79.0,-79.0,1.1602548
47.725520833305275,-4.42239583334536,-78.05469,0,16352,1,-75.11,-76.94,0.9150969
47.725520833305275,-4.421354166678693,-74.72656,0,16352,1,-72.18,-74.29,1.0551214
47.725520833305275,-4.4203125000120265,-72.0,1,16352,0,-72.0,-72.0,0.46613857
47.725520833305275,-4.41927083334536,-74.046875,0,16352,1,-75.38,-76.75,0.6846532
47.725520833305275,-4.418229166678693,-77.0,0,16352,1,-77.2,-80.17,1.4851149
47.725520833305275,-4.417187500012027,-80.0,1,16352,0,-80.0,-80.0,1.1999756
47.725520833305275,-4.41614583334536,-78.78125,0,16352,1,-76.57,-78.0,0.7146623
47.725520833305275,-4.415104166678693,-77.51953,0,16352,1,-76.77,-77.47,0.35078037
47.725520833305275,-4.414062500012027,-77.20703,0,16352,1,-76.82,-77.31,0.2440703
47.725520833305275,-4.41302083334536,-76.0,1,16352,0,-76.0,-76.0,0.80039054
47.725520833305275,-4.411979166678694,-77.53516,0,16352,1,-77.5,-79.36,0.9299173
47.725520833305275,-4.410937500012027,-74.5,1,16352,0,-74.5,-74.5,0.67023784
47.725520833305275,-4.40989583334536,-75.5,1,16352,0,-75.5,-75.5,0.5
47.725520833305275,-4.408854166678694,-73.765625,0,16352,1,-73.29,-74.19,0.44906586
47.725520833305275,-4.407812500012027,-71.0,1,16352,0,-71.0,-71.0,0.6043462
47.725520833305275,-4.406770833345361,-72.22656,0,16352,1,-71.56,-72.07,0.2538762
47.725520833305275,-4.405729166678694,-72.70703,0,16352,1,-71.9,-72.63,0.36510378
47.725520833305275,-4.404687500012027,-72.90234,0,16352,1,-71.76,-73.42,0.8303331
47.725520833305275,-4.403645833345361,-73.34375,0,16204,1,-71.18,-74.17,1.4947826
47.725520833305275,-4.402604166678694,-72.87891,0,16204,1,-70.84,-71.7,0.43018436
47.725520833305275,-4.4015625000120275,-69.5,1,16352,0,-69.5,-69.5,0.0
47.725520833305275,-4.400520833345361,-71.75781,0,16204,1,-69.39,-73.17,1.4205866
47.725520833305275,-4.399479166678694,-73.0,1,16352,0,-73.0,-73.0,0.69033504
47.725520833305275,-4.398437500012028,-72.0,1,16352,0,-72.0,-72.0,1.4949459
47.725520833305275,-4.397395833345361,-74.046875,0,16204,1,-74.12,-76.25,1.065483
47.725520833305275,-4.3963541666786945,-73.97656,0,16204,1,-76.18,-77.16,0.49063495
47.725520833305275,-4.395312500012028,-75.734375,0,16204,1,-73.3,-76.23,1.4652551
47.725520833305275,-4.394270833345361,-77.5,1,16352,0,-77.5,-77.5,3.4900107
47.725520833305275,-4.393229166678695,-76.171875,0,16204,1,-72.53,-75.86,1.6649243
47.725520833305275,-4.392187500012028,-76.03516,0,16204,1,-73.68,-76.1,1.2101055
47.725520833305275,-4.3911458333453615,-77.3,1,16204,0,-77.3,-77.3,0.9150969
47.725520833305275,-4.390104166678695,-76.62109,0,16204,1,-76.8,-76.82,0.022097087
47.725520833305275,-4.389062500012028,-75.5,1,16352,0,-75.5,-75.5,1.0
47.725520833305275,-4.388020833345362,-81.1,1,16204,0,-81.1,-81.1,0.63507503
47.725520833305275,-4.386979166678695,-80.93359,0,16204,1,-79.98,-80.18,0.09882118
47.725520833305275,-4.385937500012028,-82.92578,0,16204,1,-81.84,-82.41,0.28470105
